,City,Country,Lat,Lng,Hotel Name
365,buy,RU,58.48,41.53,Hotel Variant C
366,joshimath,IN,30.57,79.57,The Tattva Resort
367,port lincoln,CD,-7.03,29.76,
368,key west,US,32.73,-101.8,
369,san cristobal,ML,13.3,-4.9,Hôtel Teriya
370,griffith,US,41.53,-87.42,"Fairfield Inn & Suites by Marriott Chicago Southeast/Hammond, IN"
371,faya,SA,18.39,42.45,
372,grindavik,IS,63.84,-22.43,Mar Guesthouse
373,rio grande,GR,38.3,21.78,Airotel Achaia Beach
374,zaoyang,CN,32.13,112.75,Zaoyabg International Hotel
375,kenai,US,60.55,-151.26,Kenai Airport Hotel
376,mabaruma,GY,8.2,-59.78,
377,zlitan,LY,32.47,14.57,Zliten Hotel
378,tura,IN,25.52,90.22,Hotel RIKMAN Continental
379,sungaipenuh,ID,-2.08,101.38,DHEADITA Hotel
380,rawson,AR,-43.3,-65.1,Hotel Punta León
381,weinan,CN,34.5,109.51,Mesa International Hotel
382,moen,NO,69.13,18.61,
383,rantepao,ID,-2.97,119.9,Toraja Heritage Hotel
384,smithers,CA,54.78,-127.17,Prestige Hudson Bay Lodge
385,huarmey,PE,-10.07,-78.15,Hotel Miramar
386,moose factory,US,43.66,-110.72,
387,nichinan,JP,31.6,131.37,Hostel Marika-ホステルマリカ-（宮崎県）
388,celestun,MX,20.87,-90.4,Ria Celestun
389,asosa,ET,10.07,34.53,Bamboo Paradise Hotel
390,denpasar,ID,-8.65,115.22,Grand Kesambi Resort and Villas
391,mount isa,GB,53.66,-1.85,Manor House Lindley
392,plainview,US,40.78,-73.47,The Inn at Fox Hollow
393,deputatskiy,RU,69.3,139.9,
394,bagdarin,RU,54.43,113.6,
395,morton,US,46.77,-101.26,
396,floro,NO,61.6,5.03,Quality Hotel Florø
397,sioux lookout,US,42.73,-96.23,
398,ilhabela,BR,-23.78,-45.36,Porto Pacuíba Hotel
399,inhambane,MZ,-23.86,35.38,Sentidos Beach Retreat
400,mayo,US,38.89,-76.51,
401,asau,RO,46.43,26.4,Pensiunea Sophia
402,san ramon de la nueva oran,ML,13.3,-4.9,Hôtel Teriya
403,merauke,ID,-8.47,140.33,
404,necochea,AR,-38.55,-58.74,Hotel Lobo de Mar
405,osakarovka,KZ,50.56,72.57,Motel' Osakarovka
406,san jeronimo,ML,13.3,-4.9,Hôtel Teriya
407,masvingo,ZW,-20.06,30.83,Lodge At Ancient City
408,north bend,FR,50.33,3.67,
409,aljezur,PT,37.32,-8.8,Aljezur Villas Hostel
410,damghan,IR,36.17,54.35,Damghan Tourism Hotel
411,nemuro,JP,43.32,145.57,Hotel Nemuro Kaiyoutei
412,poso,ID,-1.4,120.75,Ancyra Hotel By Continent - Poso
413,miles city,US,35.19,-120.7,The Cliffs Hotel and Spa
414,tiznit,MA,29.58,-9.5,
415,sao joao da barra,IN,20.51,76.21,BULDANA URBAN RESIDENCY CLUB
416,atambua,ID,-9.11,124.89,Hotel King Star
417,makakilo city,US,21.35,-158.09,Marriott's Ko Olina Beach Club
418,severnyy-kospashskiy,RU,59.09,57.8,
419,vittoria,IT,36.95,14.53,Grand Hotel Vittoria
420,ulaangom,MN,49.98,92.07,Grand restaurant & hotel
421,mitchell,US,43.71,-98.03,Kelly Inn & Suites
422,pringsewu,ID,-5.36,104.97,Urban Style by Front One
423,agapovka,RU,53.3,59.13,
424,vyazniki,RU,56.25,42.17,"Motel ""Traffic Light"""
425,boyolangu,ID,-8.12,111.89,Crown Victoria Hotel
426,sidi qasim,CF,5.08,19.88,
427,mwinilunga,ZM,-11.74,24.43,Muzina Guest House
428,anloga,GH,5.79,0.9,BeatzWave Studios
429,severodvinsk,RU,64.56,39.83,Nikolsky Posad
430,mims,US,28.67,-80.84,The Wayward Traveler's Inn
431,ballarpur,IN,19.83,79.35,
432,madimba,TZ,-10.4,40.33,
433,saint-denis,FR,48.92,2.33,Hôtel Particulier Montmartre
434,kautokeino,NO,69.01,23.04,Thon Hotel Kautokeino
435,kununurra,AU,-15.77,128.73,Hotel Kununurra
436,samarai,PG,-10.62,150.67,Nuli Sapi
437,san fernando,ML,13.3,-4.9,Hôtel Teriya
438,ulladulla,AU,-35.35,150.47,Bannisters Pavilion
439,rognac,FR,43.49,5.23,Hôtel Ibis Marseille Provence Aéroport
440,stephenville,US,32.22,-98.2,Hampton Inn & Suites Stephenville
441,mazyr,BY,52.05,29.25,"""Prypiać"" Hotel"
442,ballina,AU,-28.87,153.57,Ballina Byron Islander Resort
443,fare,PF,-16.7,-151.02,Maitai Lapita Village Huahine
444,georgiyevka,KZ,43.04,74.71,
445,knysna,ZA,-34.04,23.05,Pezula Resort Hotel & Spa
446,san matias,ML,13.3,-4.9,Hôtel Teriya
447,hay river,GB,52.07,-3.13,Foyles of Glasbury
448,norrkoping,SE,58.59,16.18,The Lamp Hotel
449,wagar,SD,16.15,36.2,
450,tarana,IN,23.33,76.03,
451,elliot lake,ZA,-31.33,27.85,Rose Garden Dinner Bed and Breakfast
452,intipuca,SV,13.2,-88.05,La Tortuga Verde
453,kuah,MY,6.33,99.84,The Westin Langkawi Resort & Spa
454,corral nuevo,CL,-39.89,-73.43,Hotel y Departamentos El Castillo Niebla
455,bonthe,SL,7.53,-12.51,Bonthe Holiday Village
456,lawrenceburg,US,38.04,-84.9,Best Western Lawrenceburg Inn
457,yar-sale,RU,66.83,70.83,"Hotel ""Nord House"""
458,parabel,RU,58.7,81.48,Levkada
459,ulagan,RU,50.63,87.96,Gostinitsa Uyut
460,dauriya,RU,49.93,116.87,
461,feijo,BR,-8.16,-70.35,JOAFRAN HOTEL
462,gijon,ES,43.54,-5.66,abba Playa Gijón Hotel
463,sonoita,MX,31.85,-112.83,Hotel Excelsior
464,cabot,US,34.97,-92.02,Days Inn & Suites by Wyndham Cabot
465,oran,DZ,35.69,-0.64,Four Points by Sheraton Oran
466,raudeberg,NO,61.99,5.14,Ulvesund FYR
467,flinders,AU,-34.58,150.86,Lakeview Hotel Motel
468,ust-koksa,RU,50.27,85.61,"Эко отель ""Альтаир"""
469,pottsville,US,40.69,-76.2,Ramada by Wyndham Pottsville/Frackville
470,ginir,ET,7.13,40.7,Ijole Bale Hotel
471,rochefort,FR,45.92,-1.0,Hotel Mercure Rochefort La Corderie Royale
472,shenkursk,RU,62.11,42.9,"""Vaga"" hotel"
473,sokoni,TZ,-6.43,39.55,Ujamaa Beach Resort
474,taber,CA,49.82,-112.15,Heritage Inn Hotel & Convention Centre
475,beringovskiy,RU,63.05,179.32,
476,kansanshi,ZM,-12.1,26.43,
477,sibu,MY,2.3,111.82,Kingwood Hotel (Sibu) Sdn Bhd
478,mapiripan,CO,2.89,-72.13,Hotel Matiyury
479,cortez,US,37.35,-108.59,Holiday Inn Express Mesa Verde-Cortez
480,praya,CV,14.92,-23.51,Hotel Oasis Atlantico Praiamar
481,omboue,GA,-1.57,9.26,Hotel Olako
482,miracema do tocantins,BR,-21.41,-42.2,Novo Hotel Varandas
483,mitu,CO,1.2,-70.17,
484,muravlenko,RU,63.79,74.52,E-Hotel Muravlenko
485,myaundzha,RU,63.05,147.19,
486,emirdag,TR,39.02,31.15,emirdağ oteli
487,ufa,RU,54.77,56.04,Hampton by Hilton Ufa
488,naze,JP,28.37,129.48,Amami Sun Plaza Hotel
489,san carlos de bariloche,ML,13.3,-4.9,Hôtel Teriya
490,alice springs,US,27.75,-98.07,Hampton Inn Alice
491,sunnyside,US,46.32,-120.01,Best Western Plus Grapevine Inn
492,harwich,GB,51.94,1.28,The Tower Hotel
493,belmonte,BR,-15.86,-38.88,Pousada Rio
494,sur,OM,22.57,59.53,Resort Sur Beach Holiday منتجع شاطئ صور هوليداي
495,olinda,BR,-8.01,-34.86,Hotel 7 Colinas
496,aswan,EG,24.09,32.91,Hotel Sofitel Legend Old Cataract Aswan
497,banda aceh,IN,25.48,80.33,S S Residency- Best Hotel in Banda
498,santa vitoria do palmar,PH,17.49,120.43,
499,aksarayskiy,RU,46.79,48.01,
500,tromso,NO,69.65,18.96,"Radisson Blu Hotel, Tromsø"
501,igarka,RU,67.47,86.58,Igarka Airport Hotel
502,thaba-tseka,LS,-29.52,28.61,Mohale Oa Masite Hotel
503,monte azul,FR,42.47,9.39,L'appollu
504,kosh-agach,RU,50.0,88.67,Vizit-tsentr Sailiughiemskii
505,sangar,RU,63.92,127.47,
506,narsaq,GL,60.92,-46.05,Hotel Narsaq
507,hovd,MN,48.01,91.64,Steppe hotel
508,lomza,PL,53.18,22.06,Metropol
509,pangoa,PE,-12.12,-73.0,
510,rumonge,BI,-3.97,29.44,Bethel Hotel
511,prieska,ZA,-29.66,22.75,Gariep Country Lodge
512,newport,GB,51.59,-3.0,The Celtic Manor Resort
513,kristiinankaupunki,FI,62.27,21.38,Hotelli Krepelin
514,charters towers,US,38.57,-83.43,
515,ternate,ID,0.8,127.4,Hotel Emerald
516,winnemucca,US,40.97,-117.74,Holiday Inn Express Winnemucca
517,arona,ES,28.1,-16.68,H10 Las Palmeras
518,ketchikan,US,55.34,-131.65,Inn at Creek Street
519,dongsheng,CN,39.82,109.98,Crowne Plaza Ordos
520,bastia,FR,42.67,9.33,Hôtel Sant'Andria
521,sisimiut,GL,66.94,-53.67,Hotel Sisimiut
522,balkhash,KZ,46.84,74.98,Guest House Comfort-House-Balkhash
